Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KKBSK P17,Chrome 121.0.0.0,,,2024-02-02 10:21:22,2024-02-02 10:28:35,7m - 12.565s,FAILED
,,,,,,,
Test Cases/1. Login,Chrome 121.0.0.0,,,2024-02-02 10:21:23,2024-02-02 10:21:31,8.708s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-02 10:21:23,2024-02-02 10:21:23,0.002s,PASSED
"openBrowser(""http://192.168.29.74/login"")",Chrome 121.0.0.0,,,2024-02-02 10:21:23,2024-02-02 10:21:27,3.640s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""1. Skenario 2.1 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:27,2024-02-02 10:21:28,0.735s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_NIP_username""), username)",Chrome 121.0.0.0,,,2024-02-02 10:21:28,2024-02-02 10:21:29,1.000s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_Password_password""), password)",Chrome 121.0.0.0,,,2024-02-02 10:21:29,2024-02-02 10:21:30,0.974s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""2. Skenario 2.2 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:30,2024-02-02 10:21:30,0.382s,PASSED
"click(findTestObject(""Object Repository/CMS/Login/button_Login""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:30,2024-02-02 10:21:31,1.361s,PASSED
,,,,,,,
Test Cases/2. Master Event - Add,Chrome 121.0.0.0,,,2024-02-02 10:21:31,2024-02-02 10:21:57,25.351s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-02 10:21:32,2024-02-02 10:21:32,0.001s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.1 Dashboard"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:32,2024-02-02 10:21:33,0.397s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-02 10:21:33,2024-02-02 10:21:33,0.420s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/span_Master Data""))",Chrome 121.0.0.0,,,2024-02-02 10:21:33,2024-02-02 10:21:33,0.402s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.2 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:33,2024-02-02 10:21:34,0.589s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/Master Event""))",Chrome 121.0.0.0,,,2024-02-02 10:21:34,2024-02-02 10:21:35,1.511s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.3 Master Event(Add)"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:35,2024-02-02 10:21:36,0.376s,PASSED
"click(findTestObject(""CMS/Page_Master Event/button_Tambah Event""))",Chrome 121.0.0.0,,,2024-02-02 10:21:36,2024-02-02 10:21:36,0.652s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.4 Master Event(Add) - Popup"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-02 10:21:36,2024-02-02 10:21:37,0.740s,PASSED
"kode_event = getAttribute(findTestObject(""Object Repository/input_Kode Event_code""), ""value"")",Chrome 121.0.0.0,,,2024-02-02 10:21:37,2024-02-02 10:21:38,0.544s,PASSED
"out.println(""kode event : "" + kode_event)",Chrome 121.0.0.0,,,2024-02-02 10:21:38,2024-02-02 10:21:38,0.010s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Nama Event_name""), nama_event)",Chrome 121.0.0.0,,,2024-02-02 10:21:38,2024-02-02 10:21:38,0.654s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Lokasi_location""), lokasi)",Chrome 121.0.0.0,,,2024-02-02 10:21:38,2024-02-02 10:21:39,0.656s,PASSED
year = fromYear,Chrome 121.0.0.0,dari tanggal,,2024-02-02 10:21:39,2024-02-02 10:21:39,0.000s,PASSED
