Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KKBSK P17,Chrome 121.0.0.0,,,2024-02-01 14:07:59,2024-02-01 14:12:47,4m - 48.337s,FAILED
,,,,,,,
Test Cases/1. Login,Chrome 121.0.0.0,,,2024-02-01 14:07:59,2024-02-01 14:08:10,10.984s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 14:08:00,2024-02-01 14:08:00,0.006s,PASSED
"openBrowser(""http://192.168.29.74/login"")",Chrome 121.0.0.0,,,2024-02-01 14:08:00,2024-02-01 14:08:04,3.779s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""1. Skenario 2.1 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:04,2024-02-01 14:08:05,0.733s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_NIP_username""), username)",Chrome 121.0.0.0,,,2024-02-01 14:08:05,2024-02-01 14:08:06,1.250s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_Password_password""), password)",Chrome 121.0.0.0,,,2024-02-01 14:08:06,2024-02-01 14:08:07,1.307s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""2. Skenario 2.2 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:07,2024-02-01 14:08:08,0.472s,PASSED
"click(findTestObject(""Object Repository/CMS/Login/button_Login""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:08,2024-02-01 14:08:10,2.676s,PASSED
,,,,,,,
Test Cases/2. Master Event - Add,Chrome 121.0.0.0,,,2024-02-01 14:08:11,2024-02-01 14:08:34,23.840s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 14:08:11,2024-02-01 14:08:11,0.001s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.1 Dashboard"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:11,2024-02-01 14:08:12,0.516s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 14:08:12,2024-02-01 14:08:13,0.856s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/span_Master Data""))",Chrome 121.0.0.0,,,2024-02-01 14:08:13,2024-02-01 14:08:13,0.702s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.2 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:13,2024-02-01 14:08:14,0.581s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/Master Event""))",Chrome 121.0.0.0,,,2024-02-01 14:08:14,2024-02-01 14:08:15,1.521s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.3 Master Event(Add)"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:15,2024-02-01 14:08:16,0.390s,PASSED
"click(findTestObject(""CMS/Page_Master Event/button_Tambah Event""))",Chrome 121.0.0.0,,,2024-02-01 14:08:16,2024-02-01 14:08:16,0.578s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.4 Master Event(Add) - Popup"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:08:16,2024-02-01 14:08:17,0.738s,PASSED
"kode_event = getAttribute(findTestObject(""Object Repository/input_Kode Event_code""), ""value"")",Chrome 121.0.0.0,,,2024-02-01 14:08:17,2024-02-01 14:08:18,0.512s,PASSED
