Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
day = toDay,Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.001s,PASSED
yearInt = 2050,Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.000s,PASSED
localDate = systemDefault()).toLocalDate(),Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.001s,PASSED
currentYear = getYear().toString(),Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.000s,PASSED
yearDiff = yearInt - localDate.getYear() / 10,Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.001s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-and-month-switch""))",Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.568s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-switch"", [""currentYear"":fromYear]))",Chrome 121.0.0.0,,,2024-02-01 13:13:34,2024-02-01 13:13:35,0.540s,PASSED
while (true),Chrome 121.0.0.0,,,2024-02-01 13:13:35,2024-02-01 13:13:37,2.294s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.6 Master Event(Add) - Popup Filled"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:37,2024-02-01 13:13:37,0.390s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/button_SUBMIT""))",Chrome 121.0.0.0,,,2024-02-01 13:13:37,2024-02-01 13:13:38,0.530s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/button_ok""), 0)",Chrome 121.0.0.0,,,2024-02-01 13:13:38,2024-02-01 13:13:40,1.686s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.7 Master Event(Add) - Popup Success"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:40,2024-02-01 13:13:40,0.408s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/button_ok""))",Chrome 121.0.0.0,,,2024-02-01 13:13:40,2024-02-01 13:13:40,0.356s,PASSED
,,,,,,,
Test Cases/3. Search and Sorting - Master Event,Chrome 121.0.0.0,,,2024-02-01 13:13:40,2024-02-01 13:14:00,19.346s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 13:13:41,2024-02-01 13:13:41,0.000s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 13:13:41,2024-02-01 13:13:41,0.485s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.1 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:41,2024-02-01 13:13:42,0.382s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/Master Event""))",Chrome 121.0.0.0,,,2024-02-01 13:13:42,2024-02-01 13:13:43,1.459s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 5.2 Master Event - Search"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:43,2024-02-01 13:13:44,0.381s,PASSED
