Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KKBSK P17,Chrome 121.0.0.0,,,2024-02-01 14:15:22,2024-02-01 14:20:56,5m - 34.355s,FAILED
,,,,,,,
Test Cases/1. Login,Chrome 121.0.0.0,,,2024-02-01 14:15:22,2024-02-01 14:15:34,12.034s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 14:15:23,2024-02-01 14:15:23,0.002s,PASSED
"openBrowser(""http://192.168.29.74/login"")",Chrome 121.0.0.0,,,2024-02-01 14:15:23,2024-02-01 14:15:26,3.792s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""1. Skenario 2.1 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:26,2024-02-01 14:15:27,0.746s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_NIP_username""), username)",Chrome 121.0.0.0,,,2024-02-01 14:15:27,2024-02-01 14:15:29,1.620s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_Password_password""), password)",Chrome 121.0.0.0,,,2024-02-01 14:15:29,2024-02-01 14:15:31,1.682s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""2. Skenario 2.2 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:31,2024-02-01 14:15:31,0.545s,PASSED
"click(findTestObject(""Object Repository/CMS/Login/button_Login""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:31,2024-02-01 14:15:34,3.150s,PASSED
,,,,,,,
Test Cases/2. Master Event - Add,Chrome 121.0.0.0,,,2024-02-01 14:15:34,2024-02-01 14:16:03,28.745s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 14:15:35,2024-02-01 14:15:35,0.006s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.1 Dashboard"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:35,2024-02-01 14:15:36,0.717s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 14:15:36,2024-02-01 14:15:37,0.705s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/span_Master Data""))",Chrome 121.0.0.0,,,2024-02-01 14:15:37,2024-02-01 14:15:37,0.449s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.2 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:37,2024-02-01 14:15:38,0.631s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/Master Event""))",Chrome 121.0.0.0,,,2024-02-01 14:15:38,2024-02-01 14:15:39,1.396s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.3 Master Event(Add)"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:39,2024-02-01 14:15:39,0.411s,PASSED
"click(findTestObject(""CMS/Page_Master Event/button_Tambah Event""))",Chrome 121.0.0.0,,,2024-02-01 14:15:39,2024-02-01 14:15:40,0.588s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.4 Master Event(Add) - Popup"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 14:15:40,2024-02-01 14:15:41,0.891s,PASSED
"kode_event = getAttribute(findTestObject(""Object Repository/input_Kode Event_code""), ""value"")",Chrome 121.0.0.0,,,2024-02-01 14:15:41,2024-02-01 14:15:42,0.979s,PASSED
"out.println(""kode event : "" + kode_event)",Chrome 121.0.0.0,,,2024-02-01 14:15:42,2024-02-01 14:15:42,0.018s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Nama Event_name""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 14:15:42,2024-02-01 14:15:43,1.422s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Lokasi_location""), lokasi)",Chrome 121.0.0.0,,,2024-02-01 14:15:43,2024-02-01 14:15:46,2.581s,PASSED
year = fromYear,Chrome 121.0.0.0,dari tanggal,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.001s,PASSED
month = fromMonth,Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.001s,PASSED
day = fromDay,Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.000s,PASSED
yearInt = 2040,Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.000s,PASSED
date = new java.util.Date(),Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.012s,PASSED
localDate = systemDefault()).toLocalDate(),Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.039s,PASSED
currentYear = getYear().toString(),Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.011s,PASSED
yearDiff = yearInt - localDate.getYear() / 10,Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:46,0.004s,PASSED
"click(findTestObject(""CMS/Page_Master Event/input_Dari Tanggal""))",Chrome 121.0.0.0,,,2024-02-01 14:15:46,2024-02-01 14:15:47,1.124s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-and-month-switch""))",Chrome 121.0.0.0,,,2024-02-01 14:15:47,2024-02-01 14:15:48,0.650s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-switch"", [""currentYear"":currentYear]))",Chrome 121.0.0.0,,,2024-02-01 14:15:48,2024-02-01 14:15:48,0.638s,PASSED
while (true),Chrome 121.0.0.0,,,2024-02-01 14:15:48,2024-02-01 14:15:51,2.378s,PASSED
year = toYear,Chrome 121.0.0.0,sampai tanggal,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.000s,PASSED
month = toMonth,Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.001s,PASSED
day = toDay,Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.000s,PASSED
yearInt = 2050,Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.000s,PASSED
localDate = systemDefault()).toLocalDate(),Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.001s,PASSED
currentYear = getYear().toString(),Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.000s,PASSED
yearDiff = yearInt - localDate.getYear() / 10,Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.000s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-and-month-switch""))",Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:51,0.542s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-switch"", [""currentYear"":fromYear]))",Chrome 121.0.0.0,,,2024-02-01 14:15:51,2024-02-01 14:15:52,0.531s,PASSED
